time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552563554455,320.07547,320.05557,304.3374,5.153493,6.369884,6.4824452,5.8218765,0,98.72303,120.89957,97.46623,640.0621,182.82944,1.8545762
1552563614952,321.4283,317.71378,304.4381,5.1505704,6.382652,6.5044355,5.815873,0,99.19437,123.51954,95.40931,640.1466,185.72427,1.6997961
1552563674950,321.5796,323.0424,302.26453,5.1563625,6.378744,6.417398,5.7080655,0,99.78465,125.05015,93.98174,639.71716,185.1756,1.7611068
1552563734947,325.889,319.16986,308.80893,5.1467648,6.3701444,6.146245,5.3721356,0,100.272095,122.59242,93.78065,640.3719,181.08505,1.8061584
1552563794945,320.7895,318.2313,305.08322,5.1495047,6.3763304,5.4341073,5.2548485,0,100.44497,125.43508,93.74977,630.5619,180.18774,1.959514
1552563854943,324.40158,320.9565,305.17953,5.146513,6.3864727,5.909328,5.271389,0,100.13218,123.86118,93.7834,629.35876,179.60889,2.3575912
1552563914956,321.3522,319.15994,307.5899,5.1517863,6.369267,6.015972,5.347541,0,99.93211,120.23268,92.16582,630.0937,179.2897,2.287671
1552563975453,321.50888,321.92575,308.0253,5.161528,6.3759017,5.915164,5.244848,0,99.60219,126.58992,93.44765,632.3686,180.22267,2.3526514
1552564035450,325.6526,317.52948,308.60876,5.14498,6.376181,5.88798,5.234484,0,99.29746,126.02022,94.61869,632.80695,184.41351,2.3965855
1552564095448,318.17737,318.31113,306.70102,5.1556997,6.3816447,5.938365,5.281309,0,99.03088,125.56852,93.63558,633.74255,182.7226,2.5093336
1552564155445,321.89935,322.63385,307.1838,5.158252,6.381626,5.947015,5.317022,0,98.88621,123.02549,94.069626,635.56,179.28513,2.241658
1552564215443,323.54108,318.48083,310.41882,5.15466,6.3710165,5.97225,5.310311,0,98.8871,125.20579,95.35935,626.3379,184.90033,2.2664948
1552564275955,320.58893,335.5905,306.7982,5.1568394,6.37186,5.962277,5.336501,0,98.71075,126.12549,95.34709,654.4734,194.92493,2.176555
1552564335953,324.547,317.70526,308.42737,5.146126,6.370327,6.0401654,5.42355,0,98.51513,124.91015,93.46203,624.3624,182.13156,2.278775
1552564395951,330.032,324.88965,307.60583,5.146286,6.3613267,6.081602,5.460959,0,98.20034,123.141754,96.590866,638.20886,188.64598,2.680889
1552564455948,325.32715,328.46567,308.56104,5.149352,6.3827586,6.146139,5.5109377,0,98.191864,123.31725,97.01834,635.95386,182.17342,2.4199877
1552564515946,331.5606,326.15298,310.05774,5.15624,6.361379,6.154389,5.4919386,0,98.318,124.56094,96.9574,646.977,184.76968,2.3792517
1552564575943,330.8865,325.57306,312.59177,5.1467257,6.3720818,6.082936,5.4174275,0,98.464096,124.093796,97.01264,636.71045,182.48087,2.25224
1552564635941,326.1909,331.06467,307.34293,5.1559157,6.375956,6.03686,5.4029083,0,98.43669,124.23163,96.10963,643.4068,188.80368,2.5302453
1552564696453,329.92212,326.32767,312.67624,5.1442094,6.3840737,6.0860314,5.4153266,0,98.49452,123.29788,96.76111,642.39935,185.67123,2.7062745
1552564756451,328.31555,327.63513,311.57098,5.151952,6.3647747,6.1084576,5.4596353,0,98.43059,126.197685,94.81546,641.3969,185.78133,2.74189
1552564816449,331.0761,332.85757,313.2554,5.152876,6.3771796,6.161571,5.49168,0,98.46372,126.0337,90.74071,636.48535,185.86067,2.3611302
1552564876446,334.66568,325.5389,308.9227,5.1464515,6.3737288,6.162722,5.522272,0,98.3336,126.5273,95.09549,643.13025,188.85152,2.6565642
1552564936444,330.6416,326.42346,317.12454,5.148665,6.3730407,6.15936,5.4885526,0,98.26755,126.88522,95.22196,642.25433,186.20345,2.6435764
1552564996441,332.16458,331.1732,319.19052,5.149831,6.386817,6.061435,5.394662,0,98.26536,126.326096,87.01653,641.0556,186.51205,2.7133393
1552565056954,339.50406,331.22153,317.94775,5.155026,6.3828754,5.863919,5.218043,0,98.09615,132.94151,87.338615,654.5954,193.89674,2.6807637
1552565116951,337.7738,331.5499,318.85773,5.1615314,6.37406,5.7143593,5.099286,0,97.86061,133.51572,93.57066,645.0644,189.51875,2.7708
